FixID,DateTime,Latitude ,Longitude ,Altitude 
142,03/06/2014 00:02:06,38.5318422,-111.9416767,2576.828
144,03/06/2014 08:01:21,38.5329169,-111.9554136,2673.398
145,03/06/2014 12:01:19,38.5329033,-111.9554628,2707.563
148,03/07/2014 00:01:19,38.5305361,-111.9406206,2514.395
153,03/07/2014 20:01:48,38.5318461,-111.9421347,2588.262
154,03/08/2014 00:01:41,38.5346303,-111.9428297,2609.383
157,03/08/2014 12:01:18,38.5383967,-111.9554164,2703.633
159,03/08/2014 20:01:49,38.532935,-111.9456939,2646.625
160,03/09/2014 00:01:18,38.5324969,-111.9425242,2596.879
161,03/09/2014 04:01:14,38.5349961,-111.9431775,2631.793
164,03/09/2014 16:01:20,38.5374767,-111.9523444,2670.172
165,03/09/2014 20:01:37,38.5318086,-111.9421667,2589.039
166,03/10/2014 00:01:43,38.5364064,-111.9408778,2548.855
167,03/10/2014 04:01:01,38.5364042,-111.9408281,2557.172
168,03/10/2014 08:01:59,38.5332064,-111.9557992,2695.41
169,03/10/2014 12:01:19,38.5383639,-111.9553886,2708.027
170,03/10/2014 16:01:20,38.5383117,-111.9554672,2702.984
171,03/10/2014 20:01:20,38.5323008,-111.9425175,2601.234
172,03/11/2014 00:01:22,38.5319197,-111.942215,2572.281
173,03/11/2014 04:01:16,38.5402367,-111.9395428,2479
174,03/11/2014 08:01:35,38.5595178,-111.9426781,2480.719
176,03/11/2014 16:01:32,38.5600942,-111.9414056,2913.016
180,03/12/2014 08:02:12,38.5961358,-111.9119142,2652.922
181,03/12/2014 12:01:17,38.6031094,-111.9225925,2715.988
182,03/12/2014 16:01:20,38.6049644,-111.922455,2738.828
188,03/13/2014 16:01:20,38.6037969,-111.9192014,2718.078
189,03/13/2014 20:00:59,38.5875475,-111.9224186,2664.621
191,03/14/2014 04:02:05,38.5348897,-111.9311392,2348.727
192,03/14/2014 08:01:20,38.5312275,-111.9550503,2664.84
194,03/14/2014 16:01:40,38.5310861,-111.9550114,2693.68
195,03/14/2014 20:00:58,38.5439658,-111.935845,2390.828
196,03/15/2014 00:01:36,38.5723111,-111.9247103,2667.207
199,03/15/2014 12:01:20,38.5983817,-111.9235689,2764.055
200,03/15/2014 16:01:21,38.5989092,-111.9217483,2708.492
203,03/16/2014 04:00:53,38.5852122,-111.9185256,2595.852
204,03/16/2014 08:01:42,38.5842928,-111.9284231,2720.176
207,03/16/2014 20:01:49,38.5884297,-111.9421433,3016.055
208,03/17/2014 00:01:24,38.5880661,-111.9466656,3086.789
209,03/17/2014 04:01:14,38.5869269,-111.9389992,2981.316
210,03/17/2014 08:01:22,38.5928842,-111.9339408,2986.73
211,03/17/2014 12:00:56,38.5928753,-111.9336983,2968.156
212,03/17/2014 16:01:20,38.5926183,-111.9336425,2991.43
213,03/17/2014 20:01:41,38.5906586,-111.9153775,2546.203
214,03/18/2014 00:01:12,38.5901117,-111.916935,2588.574
215,03/18/2014 04:00:58,38.5894642,-111.9201219,2626.148
216,03/18/2014 08:01:08,38.5865806,-111.9274878,2769.449
217,03/18/2014 12:01:21,38.5867644,-111.9278975,2815.406
218,03/18/2014 16:01:00,38.5868131,-111.9276131,2789.156
219,03/18/2014 20:01:19,38.5870964,-111.9205353,2625.164
220,03/19/2014 00:01:00,38.5872494,-111.9206747,2615.352
221,03/19/2014 04:01:48,38.5872292,-111.9206631,2633.645
222,03/19/2014 08:00:59,38.5993972,-111.91963,2689.852
223,03/19/2014 12:01:19,38.6009586,-111.9188653,2739.547
224,03/19/2014 16:01:42,38.5992128,-111.9203719,2743.73
225,03/19/2014 20:01:49,38.5808475,-111.9021036,2379.902
226,03/20/2014 00:01:19,38.5481994,-111.9279903,2400.063
227,03/20/2014 04:01:18,38.5461833,-111.9306689,2418.852
228,03/20/2014 08:00:52,38.559295,-111.9421772,2899.957
231,03/20/2014 20:00:59,38.5613997,-111.932895,2672.715
232,03/21/2014 00:01:48,38.5575278,-111.9059356,2412.777
233,03/21/2014 04:01:00,38.5550039,-111.9105278,2419.195
234,03/21/2014 08:01:40,38.5570792,-111.9384522,2390.469
236,03/21/2014 16:01:18,38.5587319,-111.9397928,2768.086
237,03/21/2014 20:01:17,38.5556525,-111.9202661,2464.953
238,03/22/2014 00:01:22,38.5549169,-111.8997725,2330.383
239,03/22/2014 04:01:54,38.5549142,-111.89974,2323.129
240,03/22/2014 08:01:18,38.5577144,-111.9047469,2379.828
241,03/22/2014 12:01:21,38.5578117,-111.9046914,2354.32
242,03/22/2014 16:00:57,38.5579025,-111.9047056,2371.738
244,03/23/2014 00:00:58,38.5551286,-111.8987056,2353.777
246,03/23/2014 08:01:12,38.5587936,-111.9110906,2522.777
247,03/23/2014 12:01:18,38.5586042,-111.9110072,2533.039
248,03/23/2014 16:01:18,38.5588078,-111.9110883,2541.707
249,03/23/2014 20:01:19,38.5551336,-111.8986292,2337.008
250,03/24/2014 00:01:19,38.5549367,-111.8990756,2275.305
252,03/24/2014 08:01:23,38.5559231,-111.9125892,2469.531
253,03/24/2014 12:01:18,38.55587,-111.9123822,2503.082
254,03/24/2014 16:01:19,38.5560056,-111.9124889,2488.707
255,03/24/2014 20:01:48,38.5549983,-111.89909,2338.27
257,03/25/2014 04:01:42,38.5551139,-111.8985997,2324.645
260,03/25/2014 16:00:55,38.5612783,-111.94048,2897.414
261,03/25/2014 20:00:59,38.5548922,-111.8996664,2341.992
264,03/26/2014 08:01:12,38.5598281,-111.9088325,2506.219
266,03/26/2014 16:00:58,38.5598189,-111.9088456,2512.664
267,03/26/2014 20:01:18,38.5551758,-111.8982253,2367.137
268,03/27/2014 00:01:18,38.5549211,-111.8997089,2323.891
269,03/27/2014 04:01:18,38.5550742,-111.8987381,2339.906
270,03/27/2014 08:01:38,38.5578397,-111.9365706,2694.863
272,03/27/2014 16:01:29,38.5615322,-111.9404317,2900.883
273,03/27/2014 20:01:53,38.5594369,-111.9429267,2951.898
278,03/28/2014 16:00:58,38.5580825,-111.9442581,2889.742
279,03/28/2014 20:01:46,38.5530142,-111.9349294,2542.93
280,03/29/2014 00:00:59,38.5579356,-111.9048336,2380.23
281,03/29/2014 04:01:12,38.5610119,-111.9071339,2466.355
282,03/29/2014 08:01:18,38.5669669,-111.9391667,2901.344
283,03/29/2014 12:01:56,38.5666803,-111.9388361,2883.445
284,03/29/2014 16:01:20,38.5666919,-111.9389011,2892.617
285,03/29/2014 20:00:59,38.5575344,-111.9261806,2554.418
286,03/30/2014 00:01:48,38.5489186,-111.8914381,2402.445
287,03/30/2014 04:01:41,38.5603203,-111.8731264,2145.277
291,03/30/2014 20:01:48,38.5879272,-111.8779514,2192.922
292,03/31/2014 00:01:39,38.5591767,-111.8831008,2229.953
293,03/31/2014 04:01:48,38.5467019,-111.8909019,2321.336
296,03/31/2014 16:01:42,38.5598736,-111.9423864,2851.055
297,03/31/2014 20:01:22,38.5464392,-111.9141986,2333.914
298,04/01/2014 00:01:00,38.5335925,-111.8810039,2133.758
299,04/01/2014 04:00:59,38.5542586,-111.8764503,2184.57
300,04/01/2014 08:01:00,38.5684447,-111.9001108,2364.23
301,04/01/2014 12:01:20,38.5684014,-111.9000875,2376.563
302,04/01/2014 16:01:20,38.5604953,-111.9069717,2468.566
305,04/02/2014 04:01:01,38.5533578,-111.8999758,2350.969
306,04/02/2014 08:01:06,38.5588369,-111.9106158,2527.18
308,04/02/2014 16:02:06,38.5588183,-111.9105867,2531.285
309,04/02/2014 20:01:44,38.5533108,-111.9001239,2359.836
310,04/03/2014 00:01:19,38.5529686,-111.9002792,2358.543
311,04/03/2014 04:00:59,38.5466331,-111.9144083,2334.629
312,04/03/2014 08:01:19,38.5597717,-111.9088706,2501.914
313,04/03/2014 12:01:22,38.5597392,-111.9087814,2520.73
314,04/03/2014 16:00:57,38.5580456,-111.9061608,2444.723
315,04/03/2014 20:01:12,38.5573814,-111.9061517,2419.035
316,04/04/2014 00:01:16,38.5584939,-111.9059539,2448.859
317,04/04/2014 04:01:20,38.5578311,-111.9060169,2426.52
318,04/04/2014 08:01:21,38.5600589,-111.9104564,2482.023
319,04/04/2014 12:01:25,38.5598133,-111.9096878,2499.629
320,04/04/2014 16:01:22,38.55875,-111.9111006,2509.469
321,04/04/2014 20:01:48,38.5489161,-111.9174486,2421.84
322,04/05/2014 00:01:29,38.5481858,-111.9308611,2413.191
324,04/05/2014 08:02:05,38.5421639,-111.9569867,2623.324
326,04/05/2014 16:01:15,38.5507819,-111.9653017,2740.512
327,04/05/2014 20:01:00,38.5536656,-111.9390403,2632.211
328,04/06/2014 00:01:12,38.5731742,-111.9261897,2686.559
329,04/06/2014 04:00:59,38.5794558,-111.909485,2447.625
330,04/06/2014 08:01:59,38.5881586,-111.922705,2645.68
331,04/06/2014 12:01:19,38.5880928,-111.9224881,2722.336
332,04/06/2014 16:01:12,38.5868272,-111.9295586,2836.332
333,04/06/2014 20:00:59,38.5867456,-111.9237481,2667.547
336,04/07/2014 08:01:48,38.5588483,-111.9122514,2492.867
337,04/07/2014 12:01:18,38.5579564,-111.9125186,2517.891
338,04/07/2014 16:01:20,38.5580567,-111.9120647,2528.168
339,04/07/2014 20:01:20,38.5577303,-111.9112383,2536.621
340,04/08/2014 00:01:20,38.5582897,-111.9050642,2374.695
341,04/08/2014 04:01:14,38.5577819,-111.9067736,2439.59
342,04/08/2014 08:01:22,38.5544764,-111.9130389,2496.969
344,04/08/2014 16:01:43,38.5544747,-111.9131219,2544.258
345,04/08/2014 20:00:57,38.5604878,-111.9079047,2482.938
346,04/09/2014 00:00:58,38.5601742,-111.9079028,2483.297
347,04/09/2014 04:01:18,38.5596483,-111.9067117,2433.031
348,04/09/2014 08:01:45,38.5659892,-111.9381458,2826.668
351,04/09/2014 20:01:21,38.5631333,-111.9147425,2558.344
352,04/10/2014 00:01:22,38.5581592,-111.9061967,2421.934
353,04/10/2014 04:00:59,38.5616181,-111.9090142,2453.844
354,04/10/2014 08:01:22,38.5615533,-111.9404544,2895.91
356,04/10/2014 16:00:55,38.5615006,-111.9405308,2895.648
357,04/10/2014 20:01:48,38.5520775,-111.9243231,2454.777
358,04/11/2014 00:02:20,38.5582106,-111.9059158,2419.605
359,04/11/2014 04:01:20,38.5634386,-111.9093886,2398.82
362,04/11/2014 16:01:20,38.5706961,-111.9310436,2770.484
