time,date,hour,y,x
107,27-Dec-04,20:55,4844349.427,367721.0075
108,27-Dec-04,21:00,4844350.616,367720.4269
109,27-Dec-04,21:05,4844350.426,367722.1712
110,27-Dec-04,21:10,4844350.806,367721.5021
111,27-Dec-04,21:15,4844349.492,367717.7382
112,27-Dec-04,21:20,4844349.478,367722.9096
113,27-Dec-04,21:25,4844343.258,367717.7757
114,27-Dec-04,21:30,4844331.811,367709.5173
115,27-Dec-04,21:35,4844330.165,367708.4777
116,27-Dec-04,21:40,4844329.692,367712.1336
117,27-Dec-04,21:45,4844317.712,367727.9429
118,27-Dec-04,21:50,4844338.112,367734.6791
119,27-Dec-04,21:55,4844520,367924.0265
120,27-Dec-04,22:00,4844399.331,368145.0493
121,27-Dec-04,22:05,4844082.587,368263.5425
122,27-Dec-04,22:10,4843735.386,368166.1824
123,27-Dec-04,22:15,4843359.039,368114.5957
124,27-Dec-04,22:20,4843009.123,368185.6337
125,27-Dec-04,22:25,4842836.188,368143.7682
126,27-Dec-04,22:30,4842530.795,368258.0859
127,27-Dec-04,22:35,4842374.862,368573.4095
128,27-Dec-04,22:40,4842470.483,368830.3215
129,27-Dec-04,22:45,4842690.031,368961.5579
130,27-Dec-04,22:50,4843115.881,369038.6529
131,27-Dec-04,22:55,4843307.092,369003.2171
132,27-Dec-04,23:00,4843316.473,368998.543
133,27-Dec-04,23:05,4843315.757,368998.7787
134,27-Dec-04,23:10,4843316.367,368997.695
135,27-Dec-04,23:15,4843308.253,368996.1499
136,27-Dec-04,23:20,4842908.752,368862.8319
137,27-Dec-04,23:25,4842383.371,368807.9009
138,27-Dec-04,23:30,4841655.282,368966.4771
139,27-Dec-04,23:35,4841173.722,368794.9854
140,27-Dec-04,23:41,4840829.445,368564.4979
141,27-Dec-04,23:45,4840658.919,368412.6365
142,27-Dec-04,23:50,4840168.031,368067.6038
143,27-Dec-04,23:56,4839837.696,367646.3798
144,28-Dec-04,0:01,4839573.69,367296.461
145,28-Dec-04,0:05,4839152.858,367097.9948
146,28-Dec-04,0:10,4839027.148,366981.9564
147,28-Dec-04,0:16,4838841.049,366953.7022
148,28-Dec-04,0:20,4838626.595,366832.3482
149,28-Dec-04,0:25,4838622.586,366782.5948
150,28-Dec-04,0:30,4838599.051,366792.7683
151,28-Dec-04,0:35,4838597.749,366791.1701
152,28-Dec-04,0:40,4838598.285,366792.1645
153,28-Dec-04,0:45,4838599.203,366791.2878
154,28-Dec-04,0:50,4838599.912,366789.6894
155,28-Dec-04,0:55,4838598.948,366790.1217
156,28-Dec-04,1:00,4838598.712,366789.7139
157,28-Dec-04,1:05,4838601.47,366791.7845
158,28-Dec-04,1:10,4838600.043,366790.9256
159,28-Dec-04,1:15,4838600.072,366791.1519
160,28-Dec-04,1:20,4838601.598,366791.5129
161,28-Dec-04,1:25,4838600.972,366792.2422
162,28-Dec-04,1:30,4838603.649,366792.8599
163,28-Dec-04,1:35,4838600.695,366792.2125
164,28-Dec-04,1:40,4838600.191,366792.404
165,28-Dec-04,1:45,4838601.003,366792.3557
166,28-Dec-04,1:50,4838597.655,366793.0952
167,28-Dec-04,1:55,4838602.872,366792.8203
168,28-Dec-04,2:00,4838599.558,366795.173
169,28-Dec-04,2:05,4838595.832,366791.4947
170,28-Dec-04,2:10,4838592.467,366775.7943
171,28-Dec-04,2:15,4838558.714,366613.0781
172,28-Dec-04,2:20,4838348.955,366323.1979
173,28-Dec-04,2:25,4837968.313,366229.1536
174,28-Dec-04,2:30,4837813.921,366020.3293
175,28-Dec-04,2:35,4837686.212,365957.2028
176,28-Dec-04,2:40,4837499.85,365804.887
177,28-Dec-04,2:45,4837433.094,365481.0235
178,28-Dec-04,2:50,4837432.92,365196.7195
179,28-Dec-04,2:55,4837933.124,365229.1092
180,28-Dec-04,3:00,4838347.184,365489.9669
181,28-Dec-04,3:06,4838591.026,365573.2358
182,28-Dec-04,3:10,4838806.355,365670.4866
183,28-Dec-04,3:16,4839207.213,365859.116
184,28-Dec-04,3:20,4839435.93,365958.2306
185,28-Dec-04,3:25,4839484.503,365946.2339
186,28-Dec-04,3:30,4839573.846,365957.2972
187,28-Dec-04,3:35,4839596.235,365988.8072
188,28-Dec-04,3:40,4839600.054,365986.2236
189,28-Dec-04,3:45,4839599.367,365983.9203
190,28-Dec-04,3:50,4839599.995,365984.7149
191,28-Dec-04,3:55,4839599.691,365982.7176
192,28-Dec-04,4:00,4839594.306,365981.9808
193,28-Dec-04,4:05,4839594.744,365986.7378
194,28-Dec-04,4:10,4839600.109,365985.1202
195,28-Dec-04,4:15,4839601.386,365984.638
196,28-Dec-04,4:20,4839598.563,365983.5253
197,28-Dec-04,4:25,4839601.055,365983.93
198,28-Dec-04,4:30,4839599.712,365984.9833
199,28-Dec-04,4:35,4839602.684,365984.7043
200,28-Dec-04,4:40,4839600.142,365980.7113
201,28-Dec-04,4:45,4839602.479,365983.8538
202,28-Dec-04,4:50,4839602.864,365980.1613
203,28-Dec-04,4:55,4839600.528,365987.5309
204,28-Dec-04,5:00,4839600.269,365983.2451
205,28-Dec-04,5:05,4839598.235,365986.05
206,28-Dec-04,5:10,4839598.13,365986.8782
207,28-Dec-04,5:15,4839597.7,365986.7084
208,28-Dec-04,5:20,4839597.637,365983.7325
209,28-Dec-04,5:25,4839600.563,365988.5555
210,28-Dec-04,5:30,4839597.939,365984.2061
211,28-Dec-04,5:35,4839601.375,365986.8305
212,28-Dec-04,5:40,4839594.928,365986.3868
213,28-Dec-04,5:45,4839604.936,365984.3464
214,28-Dec-04,5:50,4839601.193,365988.165
215,28-Dec-04,5:55,4839597.941,365988.5271
216,28-Dec-04,6:00,4839597.811,365987.2266
217,28-Dec-04,6:05,4839598.7,365986.1238
218,28-Dec-04,6:10,4839600.476,365986.7883
219,28-Dec-04,6:15,4839600.975,365986.8466
220,28-Dec-04,6:20,4839598.387,365985.1099
221,28-Dec-04,6:25,4839600.359,365984.8592
222,28-Dec-04,6:30,4839600.271,365986.4698
223,28-Dec-04,6:35,4839607.252,365987.3918
224,28-Dec-04,6:40,4839606.436,365985.4487
225,28-Dec-04,6:45,4839608.471,365988.1337
226,28-Dec-04,6:50,4839605.348,365985.4107
227,28-Dec-04,6:55,4839611.373,365989.6913
228,28-Dec-04,7:00,4839604.328,365988.631
229,28-Dec-04,7:05,4839599.76,365984.2426
230,28-Dec-04,7:10,4839604.694,365987.542
231,28-Dec-04,7:15,4839596.879,365983.29
232,28-Dec-04,7:20,4839597.942,365985.7297
233,28-Dec-04,7:25,4839595.866,365982.8666
234,28-Dec-04,7:30,4839600.533,365982.2911
235,28-Dec-04,7:35,4839599.497,365981.8673
236,28-Dec-04,7:40,4839603.172,365986.4393
237,28-Dec-04,7:45,4839601.946,365986.0761
238,28-Dec-04,7:50,4839597.588,365983.3929
239,28-Dec-04,7:55,4839597.607,365983.5948
240,28-Dec-04,8:00,4839596.744,365982.2796
241,28-Dec-04,8:05,4839601.593,365986.4963
242,28-Dec-04,8:10,4839604.209,365985.6781
243,28-Dec-04,8:15,4839595.79,365986.6459
244,28-Dec-04,8:20,4839598.596,365983.5502
245,28-Dec-04,8:25,4839598.452,365982.983
246,28-Dec-04,8:30,4839602.764,365989.6073
247,28-Dec-04,8:35,4839786.426,365754.9928
248,28-Dec-04,8:40,4840128.745,365585.7422
249,28-Dec-04,8:45,4840303.664,365452.7468
250,28-Dec-04,8:50,4840639.496,365105.5131
251,28-Dec-04,8:55,4840940.197,365131.6637
252,28-Dec-04,9:00,4841301.528,365303.8496
253,28-Dec-04,9:05,4841772.589,365428.8841
254,28-Dec-04,9:10,4842363.014,365496.185
255,28-Dec-04,9:15,4842909.485,365632.4021
256,28-Dec-04,9:20,4843459.471,365845.9271
257,28-Dec-04,9:25,4844242.042,366648.8215
258,28-Dec-04,9:30,4844383.907,366787.2659
259,28-Dec-04,9:35,4844487.249,366958.2211
260,28-Dec-04,9:40,4844624.808,367120.6614
261,28-Dec-04,9:45,4844638.867,367487.441
262,28-Dec-04,9:50,4844682.565,367585.9544
263,28-Dec-04,9:55,4844747.202,367662.9558
264,28-Dec-04,10:00,4844846.547,367618.0466
265,28-Dec-04,10:05,4844986.874,367750.9657
266,28-Dec-04,10:10,4845060.591,367854.2715
267,28-Dec-04,10:15,4845052.908,367874.7314
268,28-Dec-04,10:20,4845054.219,367876.9966
269,28-Dec-04,10:25,4845056.439,367877.105
270,28-Dec-04,10:30,4845057.014,367877.7849
271,28-Dec-04,10:35,4845057.038,367878.2606
272,28-Dec-04,10:40,4845064.934,367882.9357
273,28-Dec-04,10:45,4845056.682,367878.8335
274,28-Dec-04,10:50,4845056.562,367880.3938
275,28-Dec-04,10:55,4845057.384,367875.9155
276,28-Dec-04,11:00,4845056.244,367877.4152
277,28-Dec-04,11:05,4845058.76,367878.2706
278,28-Dec-04,11:10,4845056.625,367878.921
279,28-Dec-04,11:15,4845056.851,367878.1844
280,28-Dec-04,11:20,4845058.086,367876.3966
281,28-Dec-04,11:25,4845057.151,367875.3712
282,28-Dec-04,11:30,4845057.272,367875.3978
283,28-Dec-04,11:35,4845057.298,367875.801
284,28-Dec-04,11:40,4845058.401,367876.2256
285,28-Dec-04,11:45,4845055.628,367877.6447
286,28-Dec-04,11:50,4845054.156,367878.4935
287,28-Dec-04,11:55,4845056.502,367877.2593
288,28-Dec-04,12:00,4845095.185,368012.1845
289,28-Dec-04,12:05,4845203.756,368173.0721
290,28-Dec-04,12:10,4845261.948,368234.7033
291,28-Dec-04,12:15,4845261.211,368239.4087
292,28-Dec-04,12:20,4845294.246,368221.8261
293,28-Dec-04,12:25,4845283.599,368263.5874
294,28-Dec-04,12:30,4845218.697,368474.8962
295,28-Dec-04,12:35,4845276.692,368507.726
296,28-Dec-04,12:40,4845162.771,368780.2934
297,28-Dec-04,12:45,4845073.802,369131.739
298,28-Dec-04,12:50,4844930.74,369308.5297
299,28-Dec-04,12:55,4844931.142,369393.4994
